date,open,high,low,close,volume,macd,macds,macdh,boll,boll_ub,boll_lb,trix,volume_delta,middle,cr,rsv_9,kdjk,kdjd,kdjj,rsi_6,rsi_12,wr_10,wr_6,cci,tr,atr,dma,high_delta,low_delta,pdi,mdi,dx,adx,adxr,change,vr,direction_up,direction_down,direction
1981-02-04,28.62,28.75,28.62,28.62,124400,-0.81011223,-0.332292871,-0.955638718,30.812,34.42868997,27.19531003,-0.257451585,38900,28.66333333,55.51616267,31.24018838,19.39476326,22.60251045,12.97926889,39.748443,40.99465139,69.38461538,55.67928731,-78.03687602,1.13,1.024640759,-0.716162162,1,1,38.21458107,57.73008778,20.34037633,32.84648683,29.16147605,3.620564808,36.93348453,0,0,0
1981-02-05,28.62,28.87,28.62,28.62,35400,-0.833920565,-0.432639251,-0.802562628,30.7305,34.47182808,26.98917192,-0.328396013,-89000,28.70333333,60.11917899,34.66898955,24.48617202,23.23039764,26.99772079,39.748443,40.99465139,68.75981162,40.9495549,-64.89487197,0.25,0.96549802,-1.081105263,0.12,0,36.78886153,53.06187769,18.11116558,28.63637854,29.0114476,0,42.43439912,1,0,0.004542278
1981-02-06,28.75,28.87,28.75,28.75,61900,-0.833078265,-0.512740363,-0.640675804,30.574,34.37426259,26.77373741,-0.381867756,26500,28.79,65.71902393,37.72241993,28.89825466,25.11968331,36.45539735,41.5693462,41.81895158,63.06620209,5.357142857,-52.857084,0.25,0.911138199,-1.427461538,0,0.13,33.76624142,48.70224567,18.11116558,25.62916642,28.04507884,0.454227813,48.58389867,0,1,-0.052173913
1981-02-09,27.5,27.5,27.25,27.25,74800,-0.937442497,-0.597692082,-0.679500831,30.3555,34.39737281,26.31362719,-0.437688087,12900,27.33333333,55.51996583,13.80846325,23.86832419,24.70256361,22.19984536,29.30609365,35.5650149,88.96797153,72.32142857,-89.51892989,1.5,0.955674386,-1.839,-1.37,-1.5,27.88624906,61.21753882,37.40726467,28.99434408,28.31629802,-5.217391304,42.48866083,0,0,0
1981-02-10,27.25,27.38,27.25,27.25,81900,-1.008383804,-0.679839162,-0.657089285,30.193,34.46517731,25.92082269,-0.490178971,7100,27.29333333,58.63615971,18.39762611,22.04475816,23.81662846,18.50101757,29.30609365,35.5650149,86.19153675,100,-80.47458828,0.13,0.893489161,-2.229853659,-0.12,0,25.83884666,56.72296031,37.40726467,31.39803911,29.19679673,0,46.91277281,0,1,-0.032293578
1981-02-11,26.5,26.5,26.37,26.37,61800,-1.120002298,-0.767879279,-0.70424604,29.98,34.57316655,25.38683345,-0.546280359,-20100,26.41333333,61.17481863,0,14.69650544,20.77658745,2.536341421,23.45947603,32.20268054,100,100,-102.4778095,0.88,0.892477164,-2.591761905,-0.88,-0.88,22.41057652,62.37628329,47.13667526,35.89479688,31.11051301,-3.229357798,50.32088757,0,1,-0.009101251
1981-02-12,26.25,26.25,26.13,26.13,65000,-1.213055673,-0.856920617,-0.712270112,29.724,34.5822102,24.8657898,-0.602394785,3200,26.17,66.42947903,0,9.797670295,17.1169484,-4.840885916,22.02164972,31.32167229,100,100,-107.877346,0.24,0.843701729,-2.863790698,-0.25,-0.24,20.53860284,60.96683334,49.60188227,39.81110985,33.59639963,-0.910125142,55.62832113,0,1,-0.024110218
1981-02-13,25.75,25.75,25.5,25.5,49800,-1.320704256,-0.949682396,-0.742043722,29.449,34.61593903,24.28206097,-0.660830299,-15200,25.58333333,66.42947903,0,6.531780197,13.588559,-7.581777409,18.45808046,29.04608537,100,100,-119.2374728,0.63,0.82777957,-3.027136364,-0.5,-0.63,18.13735072,64.00531553,55.83939127,44.39062121,36.68046455,-2.411021814,60.04340412,1,0,0.024705882
1981-02-17,26.13,26.25,26.13,26.13,54800,-1.341074801,-1.027964286,-0.62622103,29.112,34.21830405,24.00569595,-0.707696722,5000,26.17,58.47522236,18.69436202,10.58597414,12.58769738,6.582527654,31.71753839,34.25669549,81.30563798,68.5,-84.30918395,0.75,0.822002272,-2.984444444,0.5,0.63,23.94887169,55.8473957,39.97495754,43.12900255,38.52290466,2.470588235,57.48876143,1,0,0.04286261
1981-02-18,27.25,27.5,27.25,27.25,85900,-1.25473071,-1.073319151,-0.362823117,28.8805,33.8770566,23.8839434,-0.728937751,31100,27.33333333,70.22106632,51.92878338,24.36691055,16.51410177,40.07252812,49.30396344,42.45271676,48.07121662,12.5,-11.18613549,1.37,0.862590711,-2.957130435,1.25,1.12,39.12325179,46.11377087,8.201270843,33.14964798,36.98768806,4.286261003,67.22518995,0,1,-0.059449541
1981-02-19,25.75,25.75,25.63,25.63,99600,-1.298771224,-1.118410823,-0.360720802,28.537,33.42934891,23.64465109,-0.750370869,13700,25.67,67.6014021,3.857566766,17.53046262,16.85288872,18.88561043,34.07228182,35.47438013,96.14243323,93.5,-109.4740687,1.62,0.918541983,-3.160085106,-1.75,-1.62,31.83556394,61.06769553,31.46513025,32.66835711,35.75359327,-5.944954128,67.37272637,0,1,-0.053843153
1981-02-20,24.38,24.38,24.25,24.25,108800,-1.425953878,-1.179920806,-0.492066145,28.106,32.90906656,23.30293344,-0.785208988,9200,24.29333333,59.68325792,0,11.68697508,15.13091751,4.799090231,25.89473828,30.77353027,100,100,-164.9486083,1.38,0.952547681,-3.476291667,-1.37,-1.38,26.60157702,70.36446636,45.1321801,36.22944987,35.88955232,-5.384315256,58.87004248,1,0,0.015257732
1981-02-23,24.62,24.75,24.62,24.62,63000,-1.480369811,-1.240011679,-0.480716264,27.6995,32.21521513,23.18378487,-0.819404204,-45800,24.66333333,57.14932127,11.38461538,11.58618852,13.94934118,6.859883194,31.20689003,33.35656438,88.61538462,88.61538462,-116.7756855,0.5,0.91927391,-3.780979592,0.37,0.37,29.25726091,63.18107615,36.69885929,36.36356686,36.02498506,1.525773196,58.88244597,0,1,-0.035337124
1981-02-24,24,24,23.75,23.75,75800,-1.574094155,-1.306829128,-0.534530054,27.2745,31.58213081,22.96686919,-0.859533749,12800,23.83333333,54.98476273,0,7.724125678,11.87426934,-0.576161656,25.95675373,30.44283545,100,100,-135.6326623,0.87,0.915658605,-4.0096,-0.75,-0.87,25.45334658,67.64489819,45.3193846,38.92237211,36.85280999,-3.533712429,58.30390862,1,0,0.063157895
1981-02-25,25.25,25.37,25.25,25.25,87000,-1.512044864,-1.347872744,-0.328344242,26.937,30.71030289,23.16369711,-0.879654841,11200,25.29,52.22028733,40,18.48275045,14.07709638,27.2940586,45.07484829,40.25820524,60,60,-53.81544428,1.62,0.96723704,-4.1396,1.37,1.5,39.77925165,55.49355534,16.49400725,32.51426755,35.61322637,6.315789474,52.2490712,1,0,0.015049505
1981-02-26,25.63,25.75,25.63,25.63,48400,-1.416366367,-1.361571594,-0.109589548,26.6685,29.95765459,23.37934541,-0.878566049,-38600,25.67,59.22035481,50.13333333,29.03294475,19.06237917,48.9740759,49.07233051,42.50058478,49.86666667,6,-23.57088123,0.5,0.933083096,-4.1812,0.38,0.38,41.16725129,49.85032862,9.540000224,25.95019094,32.85235901,1.504950495,60.18472041,1,0,0.033944596
